ticker,mean_weight,mean_abs_weight,mean_adv20_usd,implied_individual_ceiling_at_5pct_adv,pct_days_above_5pct_participation_at_500M
QQQ,-0.02506003035257161,0.025060030352571615,9720914692.458242,19395257219.75173,0.0
SPY,-0.01409303410454233,0.014093034104542329,24670806036.958035,87528369880.99811,0.0
APH,-0.012037869679656837,0.012037869679656836,144093037.9373379,598498911.2352875,0.43460982658959535
BK,-0.009503173928722523,0.009503173928722523,196299625.74587193,1032810865.1814382,0.18533236994219654
ASML,-0.008527042493467278,0.009454281500285579,360625667.83465296,1907208220.0205262,0.15209537572254336
TSLA,0.008767131419907917,0.009326128134734248,11270939147.528582,60426679671.87303,0.0
CVX,-0.009325153436562242,0.009325153436562244,774680587.2689531,4153714963.185326,0.014450867052023121
MRNA,0.009050101979462431,0.009050101979462433,1145251096.1242476,6327282823.570317,0.021315028901734104
TEL,-0.008950005846475333,0.008950005846475331,149608223.01039395,835799582.5740845,0.2402456647398844
WBD,0.008509253845632803,0.008910882240183776,181704167.96007586,1019563288.2492701,0.22832369942196531
FSLR,0.008416092028128527,0.008728388710434343,205317063.7212841,1176145280.261396,0.2915462427745665
MOS,0.007857324257486399,0.008467225037746141,136674017.9685988,807076801.1911702,0.39486994219653176
VTRS,0.008060871330879517,0.008300019147805144,152999420.62904948,921681130.5158774,0.26878612716763006
BIIB,0.008106224065189018,0.008211931431531398,443179963.1455526,2698390548.195958,0.02565028901734104
ULTA,-0.00013078682810523955,0.008002953205271725,261021340.9239899,1630781376.7550788,0.09176300578034682
NEM,0.007789690053033487,0.007986376422018824,272889052.40549815,1708466005.015303,0.19255780346820808
DXCM,0.007875047851129642,0.007884169034641918,213535157.66786343,1354202051.7927783,0.25216763005780346
ROP,-0.007798969519187232,0.007798969519187231,156013067.70768788,1000215908.8060316,0.2749277456647399
PTC,-0.006678645875797553,0.007740050028973589,77745675.48347865,502229799.50033045,0.20845375722543352
UAL,0.007573955741988233,0.007712925112482536,436980531.28828526,2832780851.0747724,0.006141618497109827
KMI,-0.005902514615227686,0.007704577111721719,212401435.16679484,1378410729.666447,0.09645953757225434
MAR,-0.006736088457564188,0.007613417920915618,268285428.41230223,1761925006.6075268,0.10476878612716763
WMB,-0.004391995621741487,0.007605054941592686,178386886.5932486,1172817868.9258096,0.1994219653179191
HD,-0.007522989647585569,0.007522989647585569,816845167.5012804,5428993031.80245,0.0018063583815028901
WYNN,0.006994380086284365,0.007514540195436601,282204807.2576865,1877725049.82449,0.012283236994219654
OKE,-0.004969209025099291,0.007316964389112591,110138272.43094146,752622717.3855301,0.30491329479768786
MSFT,-0.00718642349411712,0.007250308751257639,4559269648.767847,31441899960.30856,0.0
INTU,-0.007022298292246254,0.007114595676402952,417193235.1993465,2931953228.087545,0.11054913294797687
APA,0.006948347855510553,0.006996445714385176,171261764.0591208,1223919766.1963904,0.25036127167630057
HLT,-0.00686164258849949,0.006978688918430966,226599251.21665606,1623508755.4784064,0.13583815028901733
